Northings,Eastings,Managed,Selective_cut,Shoots_dug,Clear_cut,Mix_bamboo,Mix_trees,Expansion,Other_bamboo,Forest,Conifer,Broadleaf,MixedForest,VegType,mean_temp,annual_rainfall,elevation,Tree_DBH,Culmheight_m,Basal_areaM2ha,ABG_biomassTha,CulmTha,LitterfallThayr,Dead_materialTha,ABG_C_stock,Cluster,SOC_Tha,SOC_10cm_px,pH,Soil_water_vv,N_px,BG_biomassTha,BGbiomassTCha,NPPtotal_Tha_yr,NPP_ABG_Tha_yr,NPP_BG_Tha_yr
35.48333333,133.0833333,1,1,1,1,1,1,1,1,1,1,1,1,1,14.9,1825,30,6.8,9.5,46.4,87.8,71.4,6.64,55.757,42.70576133,1,61.535,5.356,4.7,15.815,0.3275,63.22746881,32.49687663,12.4325,8.425,7.808
35.48333333,133.0833333,1,1,1,1,1,1,1,2,1,1,1,1,1,14.9,1825,30,8.5,10.8,31.7,58.2,50.9,7.08,49.697,30.014176,1,73.005,4.371,5.5,17.312,0.3315,39.06487607,23.45616013,13.6635,6.5015,7.0935
34.73333333,135.8333333,2,1,1,1,1,2,1,2,1,1,1,1,1,14.5,1438,30,5.4955,14,63.8025,135.8,93.7,4.9,132.9315,55.84778267,1,95.595,6.3125,5.486,22.714,0.2835,61.22668736,31.49087663,12.195,8.211,8.0445
34.93333333,135.7666667,2,2,1,1,1,1,1,1,1,1,1,1,1,15.3,1581,65,5.66,15.702693,71.2,137.9,116.5,7.16,143.009,78.6,1,101.2,5.556,5.434,14.3458,0.3825,44.6,18.67,12.55,8.15,4.4
33.63333333,130.5166667,1,1,1,1,1,1,1,1,1,1,1,1,1,15.9,1833,242,6.1285,16.3242255,86.5,222.6,165.2581782,5.7155,203.4605,101.1715745,1,103.06,4.0965,5.2275,14.7171,0.2485,66.35249677,28.91276663,14.189,9.136,7.988
33.63333333,130.5166667,2,1,2,1,1,1,1,1,1,1,1,1,1,15.9,1833,242,5.979,14.11,76.4,181,133.4156587,5.303,135.657,77.87224167,1,64.76,5.127,5.327,13.3613,0.3315,40.09262258,27.14031256,11.6295,9.067,7.2255
33.63333333,130.5166667,1,1,1,1,1,1,1,2,1,1,1,1,1,15.9,1833,242,5.503,11.14,21.5,34.4,51.96919006,5.643,24.927,29.521302,1,76.95,4.391,5.508,15.0633,0.287,65.67249677,25.36249978,12.7145,6.096,7.2275
33.63333333,130.5166667,2,1,2,1,1,1,1,2,1,1,1,1,1,15.9,1833,242,5.8685,10.175,18.8,29.6,58.07,5.445,22.71,31.247622,1,67.115,5.282,5.3305,14.6946,0.3605,52.27059274,33.64758188,11.7805,6.07,7.3365
34.25,134.0333333,1,1,1,1,1,1,1,1,1,1,1,1,1,16.7,1150,150,4.825,14.6942255,71.662,187.667162,161.5957797,3.49,177.1765,84.2,1,113.42,4.188,5.2185,14.855,0.355,59.21828709,33.25899784,14.8795,8.805,7.663
34.25,134.0333333,2,1,1,1,1,2,2,1,1,1,1,1,1,16.7,1150,150,5.985,13.915,74.9935,205.7206538,154.0667797,3.98,168.3835,92.3,1,99.875,4.385,5.5215,13.4236,0.288,62.24212957,34.10157941,13.389,9.0195,7.514
31.96666667,130.4333333,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,125,5.3685,17,69.5,121.89,108.8,4.9325,119.83,54.68798,3,69.275,5.1625,5.4455,14.7219,0.317,58.84215752,32.03592256,12.0545,9.0555,7.4945
31.96666667,130.4333333,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,125,6.754,17.5,67.4,121.06,104.54,4.911,120.76,54.31558667,3,74.88,6.7745,5.316,9.9999,0.325,48.11706478,28.29447878,11.805,9.1335,7.4035
31.78333333,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,320,5.612,17.9,83,146.64,129.63,5.605,138.38,65.79248,3,82.22,3.9585,5.1955,22.909,0.381,55.83296881,29.78767034,15.1145,8.444,8.1975
31.38333333,130.45,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,130,6.038,13.5,45.7,82.82,70.53,4.761,70.68,37.15857333,3,57.745,5.01,5.4085,17.7024,0.295,58.39025026,33.41237003,12.2405,7.956,7.0085
31.96666667,130.4333333,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,125,5.901,16.3,59.1,88.23,72.27,4.903,87.26,39.58586,3,82.825,4.342,5.2415,15.1355,0.288,53.53756478,24.74990691,14.497,7.9145,8.027
31.78333333,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,19.2,2435,80,5.8335,18.1,76.8,119.99,101.28,5.1765,104.82,53.83551333,3,75.52,5.123,5.361,13.9469,0.3325,51.78406478,31.23363666,11.217,8.5975,6.838
31.96666667,130.4333333,1,1,1,1,1,1,1,1,1,1,1,1,1,16.6,2662.7,125,5.656,16.3,59.1,88.23,72.27,5.4855,87.26,39.58586,3,105.62,4.9285,5.3685,10.9569,0.329,68.57025026,31.12566128,12.365,8.0055,7.5915
31.78333333,130.5333333,1,1,1,1,1,1,1,1,1,1,1,1,1,17,2200,80,6.3885,18.1,76.8,119.99,101.28,5.1515,104.82,53.83551333,3,84.085,5.604,5.4045,13.9348,0.3185,50.59090403,32.32545294,12.389,8.964,7.3445
33.2,130.6,1,1,1,1,1,1,2,1,1,1,1,1,1,15,2108,43.9,5.1765,12.5701895,49.207,96.418789,90.809,6.4145,81.1665,53.84814867,3,80.425,4.183,5.163,9.9895,0.3245,43.81606478,24.02416909,14.1825,8.2255,6.9545
33.2,130.6,1,1,1,1,1,1,2,1,1,1,1,1,1,15,2108,43.9,6.4955,13.28,56.835,108.5457221,91.1487581,6.0215,94.1745,53.59691467,3,78.605,7.3975,5.38,14.4472,0.411,60.94412258,29.42942688,12.4225,8.5015,7.3085
33.2,130.6,1,1,1,1,1,1,2,1,1,1,1,1,1,15,2108,43.9,6.523,13.445,50.2375,115.3987162,80.5045,5.8395,113.4405,56.12866833,3,86.22,6.517,5.6895,18.3709,0.332,60.51715752,31.62391688,11.803,8.484,7.3015
33.61666667,130.5333333,1,1,1,1,1,1,2,1,1,1,1,1,1,16.6,1632,115.2,5.947,14.2488465,56.426,124.2217548,96.6,3.971,97.2065,55.12392833,1,78.19,6.3725,5.1995,13.9681,0.35,51.73369435,34.39993594,11.581,8.444,8.09
